,location,title,company,salary,salrange
0,"Sugar Land, TX 77478",Ultimate Hoops Statistician,Life Time Fitness,No Salary Listed,20000
1,"Houston, TX",Marketing Analyst/Data Scientist,David Weekley Homes,No Salary Listed,20000
2,"Houston, TX 77030 (Medical area)",Research Scientist,Houston Methodist,No Salary Listed,20000
3,"Houston, TX","Data Scientist, Customer Solutions",No Company Listed,No Salary Listed,20000
4,"Houston, TX",Senior Data Scientist,Honeywell,No Salary Listed,20000
5,"Houston, TX",Data Scientist,National Oilwell Varco,No Salary Listed,20000
6,"Houston, TX",Mars Research Scientist,Jacobs,No Salary Listed,20000
7,"Houston, TX",United States Houston:Supply Chain Statistician,Halliburton,No Salary Listed,20000
8,"Houston, TX 77070",Associate Quantitative Analyst,NextEra Energy,No Salary Listed,20000
9,"Houston, TX",Senior Research Scientist - Pediatrics Research,MD Anderson Cancer Center,"$57,200 - $85,800 a year",20000
10,"Houston, TX",P&C Predictive Modeling Actuarial Associate (PR9850),No Company Listed,No Salary Listed,20000
11,"Houston, TX",Research Scientist,Preferred Sands,No Salary Listed,20000
12,"Houston, TX",Quality Assurance Analyst (Research),Baylor College of Medicine,"$43,794 a year",20000
13,"Houston, TX 77032",Supply Chain Statistician,Halliburton,No Salary Listed,20000
14,"Houston, TX",Sr. Data Scientist,Invesco,No Salary Listed,20000
15,"Houston, TX",Data Scientist at PREDICTif Solutions,Smith & Associates,No Salary Listed,20000
16,"Houston, TX",Research Analyst II,IHS Markit,No Salary Listed,20000
17,"Houston, TX",Senior Data Scientist,Waste Management,No Salary Listed,20000
18,"Houston, TX",Flow Cytometry Specialist I,Baylor College of Medicine,"$46,831 a year",20000
19,"Houston, TX","Senior Scientist (Houston, TX)",KBRWyle,No Salary Listed,20000
20,"Houston, TX",Dealership Optimization Consultant,CDK Global,No Salary Listed,20000
21,"Houston, TX","Data Scientist, Revenue Management",SYSCO,No Salary Listed,20000
22,"Houston, TX 77030 (Medical area)",Scientist,Houston Methodist,No Salary Listed,20000
23,"Houston, TX",MSAT Scientist,Lonza,No Salary Listed,20000
24,"Houston, TX",Development Research Analyst,Rice University,No Salary Listed,20000
25,"Houston, TX",Lead Data Scientist,Invesco,No Salary Listed,20000
26,"Deer Park, TX",Food Scientist,SCHWAN'S,No Salary Listed,20000
27,"Houston, TX",Research Scientist,UT Health Science Center at Houston,No Salary Listed,20000
28,"Houston, TX 77070",Data Scientist,"Noble Energy, Inc.",No Salary Listed,20000
29,"Deer Park, TX",Food Scientist,SCHWAN'S,No Salary Listed,20000
30,"Houston, TX 77002 (Downtown area)",Sr Staff Data Scientist,General Electric,No Salary Listed,20000
31,"Houston, TX",Scientist I,No Company Listed,No Salary Listed,20000
32,"Houston, TX",Research Analyst,Pennwell Corporation,No Salary Listed,20000
33,"Houston, TX","Analyst, Market Fundamentals (Research)",No Company Listed,No Salary Listed,20000
34,"Houston, TX",Data Scientist,Schlumberger,No Salary Listed,20000
35,"Houston, TX",Systems Engineer - Linux,Cray,No Salary Listed,20000
36,"Houston, TX",Sr Research Technician in Biorepository Core,Texas Heart Institute,No Salary Listed,20000
37,"Houston, TX",MBA Consultant,alliantgroup,No Salary Listed,20000
