,location,title,company,salary,salrange
0,"Houston, TX","Data Scientist, Customer Solutions",No Company Listed,No Salary Listed,100000
1,"Houston, TX",Senior Data Scientist,Honeywell,No Salary Listed,100000
2,"Houston, TX",Data Scientist,National Oilwell Varco,No Salary Listed,100000
3,"Houston, TX 77046 (Montrose area)",2017 Computational Sciences - Data Scientist,ExxonMobil,No Salary Listed,100000
4,"Houston, TX",Sr. Data Scientist,Invesco,No Salary Listed,100000
5,"Houston, TX",Data Scientist at PREDICTif Solutions,Smith & Associates,No Salary Listed,100000
6,"Houston, TX",Lead Data Scientist,Invesco,No Salary Listed,100000
7,"Houston, TX 77070",Data Scientist,"Noble Energy, Inc.",No Salary Listed,100000
8,"Houston, TX",Engagement Manager for CMS Implementations,No Company Listed,No Salary Listed,100000
9,"Houston, TX 77018 (Northwest area)",Applications Developer 4,Oracle,No Salary Listed,100000
10,"Houston, TX",Scientist I,No Company Listed,No Salary Listed,100000
11,"Houston, TX 77042 (West Houston area)",Senior Oil & Gas Analytics Consultant,Tessella,No Salary Listed,100000
12,"Houston, TX",Data Scientist,Schlumberger,No Salary Listed,100000
13,"Houston, TX 77002 (Downtown area)",Sr Staff Analytics Engineer,General Electric,No Salary Listed,100000
14,"Houston, TX 77018 (Northwest area)",Software Developer 4,Oracle,No Salary Listed,100000
15,"Houston, TX",Product Manager,No Company Listed,No Salary Listed,100000
16,"Houston, TX 77042 (West Houston area)",No Job Title Listed,No Company Listed,No Salary Listed,100000
17,"Houston, TX",Statistician,Occidental Petroleum,No Salary Listed,100000
18,"Houston, TX 77002 (Downtown area)",Senior Data Scientist,General Electric,No Salary Listed,100000
19,"Houston, TX","Accenture Insights Platform Product Manager, Southwest US Re...",Accenture,No Salary Listed,100000
20,"Houston, TX","Analyst - Operations Performance, Energy Insights",McKinsey & Company,No Salary Listed,100000
21,"Houston, TX",Data Scientist,No Company Listed,No Salary Listed,100000
22,"Houston, TX","Specialist - Operations Performance, Energy Insights",McKinsey & Company,No Salary Listed,100000
23,"Houston, TX",No Job Title Listed,Valic,No Salary Listed,100000
24,"Houston, TX",No Job Title Listed,AIG,No Salary Listed,100000
25,"Houston, TX",Account Manager,Nokia,No Salary Listed,100000
26,"Houston, TX 77042 (West Houston area)",No Job Title Listed,Tessella,No Salary Listed,100000
27,"Houston, TX","Principal, Education | Science | Tech",HDR,No Salary Listed,100000
28,"Houston, TX",Staff Scientist,No Company Listed,No Salary Listed,100000
29,"Houston, TX 77046 (Montrose area)",Data Scientist,Global Healthcare Alliance,No Salary Listed,100000
30,"Houston, TX 77070",Machine Learning Engineer,No Company Listed,"$80,000 - $120,000 a year",100000
31,"Houston, TX",Data Scientist,Engage Partners,$120 an hour,100000
32,"Houston, TX",Front-End Programmer (React),No Company Listed,No Salary Listed,100000
33,"Houston, TX",Data Manager,No Company Listed,$75 an hour,100000
34,"Spring, TX",E&P Application Developer,No Company Listed,No Salary Listed,100000
35,"Houston, TX",Hadoop Developer w/Pentaho,No Company Listed,No Salary Listed,100000
36,"Houston, TX",Senior Global Oil Market Analyst,Hart Energy,No Salary Listed,100000
37,"Houston, TX",Senior Software Developer / Big Data,Brunel Energy,No Salary Listed,100000
38,"Phoenix, AZ",Lead Data Scientist,Honeywell,No Salary Listed,100000
39,"Phoenix, AZ 85003 (Central City area)","Instructor, Sr. Data Scientist",Galvanize,No Salary Listed,100000
40,"Chandler, AZ",Analytic Consultant 5 - Data Scientist,Wells Fargo,No Salary Listed,100000
41,"Phoenix, AZ","Sr. Manager, Predictive Analytics",Honeywell,No Salary Listed,100000
42,"Phoenix, AZ 85003 (Central City area)","Lead Instructor, Principal Data Scientist",Galvanize,No Salary Listed,100000
43,"Phoenix, AZ",Data Scientist II,Honeywell,No Salary Listed,100000
44,"Chandler, AZ",Cyber Sec Research Scientist 2- Red Team Researcher/Scientis...,Wells Fargo,No Salary Listed,100000
45,"Phoenix, AZ",Master Data Engineer,Discover Financial Services,No Salary Listed,100000
46,"Scottsdale, AZ",Data Scientist,Vaco,No Salary Listed,100000
47,"Phoenix, AZ",Sr Data Engineer,Honeywell,No Salary Listed,100000
48,"Scottsdale, AZ",No Job Title Listed,Georgia Tech Research Institute,No Salary Listed,100000
49,"Phoenix, AZ",Sr Project Manager,"Beckman Coulter, Inc.",No Salary Listed,100000
50,"Phoenix, AZ",Construction Project Manager- Data Center an Crictical Missi...,HDR,No Salary Listed,100000
51,"Phoenix, AZ",Data Architect,Career Evolutions,"$150,000 a year",100000
52,"Tempe, AZ",Sr. Engineer - Big Data,No Company Listed,No Salary Listed,100000
53,"Phoenix, AZ",Digital Marketing (Data Scientist),No Company Listed,"$100,000 - $130,000 a year",100000
54,"Scottsdale, AZ",Senior Biostatistician,No Company Listed,No Salary Listed,100000
55,"Phoenix, AZ",Analytics Solutions Leader,No Company Listed,No Salary Listed,100000
56,"Chicago, IL 60606 (Loop area)",Data Scientist/Modeling - Applied Technology - 13350,Crowe Horwath,No Salary Listed,100000
57,"Chicago, IL",Data Scientist,Optiver,No Salary Listed,100000
58,"Chicago, IL","Engineer, Machine Learning & AI",Lenovo,No Salary Listed,100000
59,"Chicago, IL 60654 (Loop area)",Data Scientist - Groupon Getaways,Groupon,No Salary Listed,100000
60,"Chicago, IL","Advisory Engineer, Machine Learning & AI",Motorola Mobility,No Salary Listed,100000
61,"Chicago, IL","Consulting Engineer, Machine Learning & AI",Motorola Mobility,No Salary Listed,100000
62,"Chicago, IL 60601 (Loop area)",Data Scientist,KPMG,No Salary Listed,100000
63,"Chicago, IL",Data Scientist,"Vizient, Inc.",No Salary Listed,100000
64,"Chicago, IL",Scientist - Operations Research,United Airlines,No Salary Listed,100000
65,"Chicago, IL 60601 (Loop area)",Scientist - Operations Research,United Airlines Inc.,No Salary Listed,100000
66,"Chicago, IL 60601 (Loop area)",Scientist - Data and Statistics,United Airlines Inc.,No Salary Listed,100000
67,"Chicago, IL",Data Scientist,AllianceData,No Salary Listed,100000
