,location,title,company,salary
0,"San Francisco, CA",Director of Data Science,No Company Listed,"$230,000 a year"
1,"San Francisco, CA",Lead Data Scientist - Engagement & Growth,No Company Listed,"$220,000 a year"
2,"San Francisco, CA",Head of Data Science,No Company Listed,"$225,000 a year"
3,"Berkeley, CA 94705",Sr Data Scientist/Solution Architect,No Company Listed,"$250,000 a year"
4,"San Francisco, CA",Senior Safety Scientist,No Company Listed,"$225,000 a year"
5,"New York, NY",Chief Data Scientist - Consulting,No Company Listed,"$220,000 a year"
6,"New York, NY 10150 (Midtown area)",Skilled Java Specialists - NYC,No Company Listed,$120 an hour
7,"Philadelphia, PA",Data Scientist,No Company Listed,$120 an hour
