,location,title,company,salary
0,"Houston, TX 77002 (Downtown area)",Sr Staff Data Scientist,General Electric,No Salary Listed
1,"Houston, TX 77042 (West Houston area)",Senior Oil & Gas Analytics Consultant,Tessella,No Salary Listed
2,"Houston, TX 77002 (Downtown area)",Senior Data Scientist,General Electric,No Salary Listed
3,"Houston, TX",No Job Title Listed,Valic,No Salary Listed
4,"Houston, TX",No Job Title Listed,AIG,No Salary Listed
5,"Houston, TX",Data Scientist,Engage Partners,$120 an hour
6,"Phoenix, AZ",Lead Data Scientist,Honeywell,No Salary Listed
7,"Phoenix, AZ","Sr. Manager, Predictive Analytics",Honeywell,No Salary Listed
8,"Phoenix, AZ",Sr Data Engineer,Honeywell,No Salary Listed
9,"Phoenix, AZ 85016 (Camelback East area)","Accenture Insights Platform Product Manager, Southwest US Re...",Accenture,No Salary Listed
10,"Phoenix, AZ",Data Architect,Career Evolutions,"$150,000 a year"
11,"Chicago, IL",Data Scientist,Optiver,No Salary Listed
12,"Chicago, IL",Data Scientist - Vista Intelligence Group,No Company Listed,No Salary Listed
13,"Chicago, IL 60606 (Loop area)",Senior Quantitative Analyst,William Blair & Company,No Salary Listed
14,"Chicago, IL 60601 (Loop area)",Data Scientist / Quantitative Analyst,S&P GLOBAL MARKET INTELLIGENCE,No Salary Listed
15,"Chicago, IL",Quantitative Research Analyst,Huxley Associates,"$150,000 a year"
16,"Chicago, IL",Principal Data Scientist,Jobspring Partners,"$120,000 - $160,000 a year"
17,"Chicago, IL 60654 (Loop area)",Senior Data Scientist,Groupon,No Salary Listed
18,"Chicago, IL","Solution Manager - City Voices, McKinsey Solutions",McKinsey & Company,No Salary Listed
19,"Chicago, IL 60604 (Loop area)",Machine Learning Data Scientist,No Company Listed,No Salary Listed
20,"Chicago, IL 60604 (Loop area)",Machine Learning Data Scientist,No Company Listed,No Salary Listed
21,"Chicago, IL 60606 (Loop area)",Senior Quantitative Analyst - Quantitative Investment Manage...,William Blair & Company,No Salary Listed
22,"Chicago, IL",Senior Quantitative Analyst- Asset Allocation,Huxley Associates,"$185,000 a year"
23,"Chicago, IL","Principal, Machine Learning",Cars.com,No Salary Listed
24,"Chicago, IL",Lead Data Architect,No Company Listed,No Salary Listed
25,"Chicago, IL",Principal Data Lead (Machine Learning),Jobspring Partners,"$140,000 - $180,000 a year"
