,location,title,company,salary,salrange
71,"Houston, TX 77042 (West Houston area)",No Job Title Listed,Tessella,No Salary Listed,60000
72,"Houston, TX",Engineering Consultant,alliantgroup,No Salary Listed,60000
73,"Houston, TX",Economics Consultant,alliantgroup,No Salary Listed,60000
74,"Houston, TX",Postdoctoral Associate,Baylor College of Medicine,No Salary Listed,60000
75,"Houston, TX",Chief Technology Officer - Water Business Line Job,Bechtel,No Salary Listed,60000
76,"Houston, TX",Legal Consultant,alliantgroup,No Salary Listed,60000
77,"Houston, TX",Quant Analyst Intern - Power,No Company Listed,No Salary Listed,60000
78,"Houston, TX",Java Programmer,alliantgroup,No Salary Listed,60000
79,"Houston, TX",Technical Supervisor - Laboratory - West Campus (8a - 5p),Texas Children's Hospital,No Salary Listed,60000
80,"Houston, TX","Principal, Education | Science | Tech",HDR,No Salary Listed,60000
81,"Houston, TX 77001",Product Manager,No Company Listed,No Salary Listed,60000
82,"Houston, TX",Cost Control Engineer,WSP | Parsons Brinckerhoff,No Salary Listed,60000
83,"Houston, TX",Staff Scientist,No Company Listed,No Salary Listed,60000
84,"Houston, TX 77058 (Pasadena area)",Senior Scientist,Jes Tech,No Salary Listed,60000
85,"Spring, TX 77389",UX Interface Design Engineer,Modis,No Salary Listed,60000
86,"Houston, TX 77002 (Downtown area)",Software Engineer,No Company Listed,No Salary Listed,60000
87,"Houston, TX",Water Engineer,Arcadis:US,No Salary Listed,60000
88,"Houston, TX",Sr. Product Engineer/Complete Seat Engineer,Altair,No Salary Listed,60000
89,"Houston, TX 77084",Geomechanics Lab Technician Specialist (328667),Aramco Services Company,No Salary Listed,60000
90,"Houston, TX 77046 (Montrose area)",Data Scientist,Global Healthcare Alliance,No Salary Listed,60000
91,"Houston, TX 77070",Machine Learning Engineer,No Company Listed,"$80,000 - $120,000 a year",60000
92,"Houston, TX",Bioinformatics Software Developer,No Company Listed,"$50,000 - $80,000 a year",60000
93,"Houston, TX",Data Scientist,Engage Partners,$120 an hour,60000
94,"Houston, TX",Front-End Programmer (React),No Company Listed,No Salary Listed,60000
95,"Houston, TX",Data Manager,No Company Listed,$75 an hour,60000
96,"Houston, TX 77079 (West Houston area)",Needed: Computational Scientist (494015) - Houston TX 77030,Objectwin Technology Inc,No Salary Listed,60000
97,"Spring, TX",E&P Application Developer,No Company Listed,No Salary Listed,60000
98,"Houston, TX",Hadoop Developer w/Pentaho,No Company Listed,No Salary Listed,60000
99,"Houston, TX",ETL Informatica Developer,SNI Technology,No Salary Listed,60000
100,"Houston, TX",Toxicology Manager and Certifying Scientist,No Company Listed,No Salary Listed,60000
101,"Houston, TX",Senior Global Oil Market Analyst,Hart Energy,No Salary Listed,60000
102,"Houston, TX",Senior Software Developer / Big Data,Brunel Energy,No Salary Listed,60000
103,"Houston, TX 77058 (Pasadena area)",Postdoctoral Fellow Bioinformatics,Texas A&M University,"$65,000 a year",60000
104,"Houston, TX",Quality Assurance Specialist - Blood Bank,No Company Listed,No Salary Listed,60000
105,"Houston, TX","Sr Data Scientist (Hadoop) - Duluth, Georgia",No Company Listed,"$105,000 a year",60000
106,"Phoenix, AZ",Lead Data Scientist,Honeywell,No Salary Listed,60000
107,"Phoenix, AZ 85032 (Paradise Valley area)",Data Scientist III,Choice Hotels,No Salary Listed,60000
108,"Scottsdale, AZ 85260 (North Scottsdale area)",Data Scientist with Clinical Experience,Cognizant,No Salary Listed,60000
109,"Phoenix, AZ 85003 (Central City area)","Instructor, Sr. Data Scientist",Galvanize,No Salary Listed,60000
110,"Scottsdale, AZ 85260 (North Scottsdale area)",Data Scientist,Trax Technologies,No Salary Listed,60000
111,"Chandler, AZ",Analytic Consultant 5 - Data Scientist,Wells Fargo,No Salary Listed,60000
112,"Scottsdale, AZ",Statistician,Matrix Medical Network,No Salary Listed,60000
113,"Phoenix, AZ","Sr. Manager, Predictive Analytics",Honeywell,No Salary Listed,60000
114,"Phoenix, AZ 85003 (Central City area)","Lead Instructor, Principal Data Scientist",Galvanize,No Salary Listed,60000
115,"Phoenix, AZ",Data Analyst/Research Analyst II,EXOS,No Salary Listed,60000
116,"Chandler, AZ",Cyber Sec Research Scientist 2- Red Team Researcher/Scientis...,Wells Fargo,No Salary Listed,60000
117,"Phoenix, AZ",Epidemiologist Program Manager,State of Arizona,"$65,000 a year",60000
118,"Phoenix, AZ",Master Data Engineer,Discover Financial Services,No Salary Listed,60000
119,"Phoenix, AZ",Data Analysis Supervisor,"NCI Information Systems, Inc.",No Salary Listed,60000
120,"Scottsdale, AZ",Data Scientist,Vaco,No Salary Listed,60000
121,"Scottsdale, AZ",Sr. Engineer - Machine Learning,EXPERIAN,No Salary Listed,60000
122,"Tempe, AZ",Senior Data Scientist,L-3 Communications,No Salary Listed,60000
123,"Phoenix, AZ 85002 (Central City area)",MRI Physicist,Phoenix Children's Hospital,No Salary Listed,60000
124,"Chandler, AZ 85225",Data Scientist - Modeling,Emailage,No Salary Listed,60000
125,"Mesa, AZ",Research & Planning Analyst,San Diego Community College District,"$5,754 - $9,606 a month",60000
126,"Scottsdale, AZ","Senior Manager, Data Science",GoDaddy,No Salary Listed,60000
127,"Goodyear, AZ",Budget & Research Analyst,No Company Listed,"$63,696 - $94,557 a year",60000
128,"Phoenix, AZ",Sr Data Engineer,Honeywell,No Salary Listed,60000
129,"Phoenix, AZ",Data Architect/Scientist,Axius Technologies,No Salary Listed,60000
130,"Phoenix, AZ",Infrastructure Machine Learning Developer,Aetna,No Salary Listed,60000
131,"Phoenix, AZ",Associate/Senior Associate Environmental Scientist/Engineer,ENVIRON International Corporation,No Salary Listed,60000
132,"Scottsdale, AZ",No Job Title Listed,Georgia Tech Research Institute,No Salary Listed,60000
133,"Phoenix, AZ",AIR QUALITY PLANNER 2-3,State of Arizona,"$45,000 - $77,000 a year",60000
134,"Tempe, AZ 85284",Economic Research Analyst,Northern Trust Corp.,No Salary Listed,60000
135,"Phoenix, AZ",Sr Project Manager,"Beckman Coulter, Inc.",No Salary Listed,60000
136,"Phoenix, AZ 85067 (Alhambra area)",Senior Pricing Analyst-Statistical,Republic Services,No Salary Listed,60000
137,"Phoenix, AZ",Transit Planner,HDR,No Salary Listed,60000
138,"Tempe, AZ",Supervising Planner,WSP | Parsons Brinckerhoff,No Salary Listed,60000
139,"Phoenix, AZ",Construction Manager- Data Center/Mission Critical Facilitie...,HDR,No Salary Listed,60000
140,"Phoenix, AZ",Environmental Planner 2,HDR,No Salary Listed,60000
141,"Phoenix, AZ",Transportation Planner 2,HDR,No Salary Listed,60000
142,"Phoenix, AZ",Senior Instrumentation and Controls Engineer,HDR,No Salary Listed,60000
143,"Phoenix, AZ",Business Analyst - Data Analyst / Research,Matrix Resources,No Salary Listed,60000
144,"Phoenix, AZ 85002 (Central City area)",Medical Lab Scientist II,Phoenix Children's Hospital,No Salary Listed,60000
145,"Phoenix, AZ 85017 (Alhambra area)",Adjunct - Performing Analytics Using a Statistical Language...,Grand Canyon University,No Salary Listed,60000
146,"Chandler, AZ 85249",Electrical Engineer II,Altair,No Salary Listed,60000
147,"Phoenix, AZ",Construction Project Manager- Data Center an Crictical Missi...,HDR,No Salary Listed,60000
148,"Phoenix, AZ",Data Architect,Career Evolutions,"$150,000 a year",60000
149,"Phoenix, AZ",Research Scientist,No Company Listed,No Salary Listed,60000
150,"Phoenix, AZ",Data Architect,No Company Listed,No Salary Listed,60000
151,"Phoenix, AZ",Data Scientist,No Company Listed,No Salary Listed,60000
152,"Scottsdale, AZ",Bioinfomatics Analyst I,No Company Listed,No Salary Listed,60000
153,"Tempe, AZ",Sr. Engineer - Big Data,No Company Listed,No Salary Listed,60000
154,"Scottsdale, AZ",Bioinformatics Scientist,No Company Listed,No Salary Listed,60000
155,"Phoenix, AZ",Digital Marketing (Data Scientist),No Company Listed,"$100,000 - $130,000 a year",60000
156,"Scottsdale, AZ",Senior Biostatistician,No Company Listed,No Salary Listed,60000
157,"Phoenix, AZ",Analytics Solutions Leader,No Company Listed,No Salary Listed,60000
158,"Phoenix, AZ",Chief Science Officer,No Company Listed,No Salary Listed,60000
159,"Tempe, AZ","Senior Data Scientist - ML, DL, & NLP",No Company Listed,No Salary Listed,60000
160,"Phoenix, AZ",2480 - Data Architect or Scientist,"ReqRoute,Inc",No Salary Listed,60000
161,"Phoenix, AZ","Professor, Sleep and Circadian Biology (T/TE)(Phoenix, AZ )",The University of Arizona,No Salary Listed,60000
162,"Chicago, IL",Data Scientist,No Company Listed,No Salary Listed,60000
163,"Chicago, IL",Data Visualization Scientist,AllianceData,No Salary Listed,60000
164,"Chicago, IL 60601 (Loop area)",Data Scientist - Big Data & Analytics,KPMG,No Salary Listed,60000
165,"Chicago, IL 60606 (Loop area)",Data Scientist/Modeling - Applied Technology - 13350,Crowe Horwath,No Salary Listed,60000
166,"Chicago, IL",Data Scientist,Optiver,No Salary Listed,60000
167,"Chicago, IL","Engineer, Machine Learning & AI",Lenovo,No Salary Listed,60000
